Competitor Name,Website,Status,Threat Level,Last Updated,Pricing Model,Base Price,Price Unit,Product Categories,Target Segments,Customer Size Focus,Geographic Focus,Customer Count,Customer Acquisition Rate,Key Customers,Employee Count,Employee Growth Rate,Year Founded,HQ Location,Funding Total,Latest Round,Valuation,PE/VC Backers,Feature: Patient Intake,Feature: Insurance Verification,Feature: Payments,Feature: Scheduling,Feature: Patient Portal,Integration Partners,Certifications,Mobile App,Website Traffic (Monthly),Social Media Following,Blog Frequency,Tagline,Differentiators,Recent Product Launches,Partnership Announcements,Awards,G2 Rating,Capterra Rating,News Mentions (30d),Notes
Phreesia,https://www.phreesia.com/,Active,High,2026-01-16,Per Visit,$3,per visit,Intake; Payments; Scheduling,Health Systems; Large Practices,Mid-Market to Enterprise,US National,3000+,50+ new logos/year,Listed on website,1500+,15% YoY,2005,Raleigh NC,$300M+,Public (NYSE: PHR),N/A,Public,Yes,Yes,Yes,Yes,Yes,Epic; Cerner; Allscripts,HIPAA; SOC2,iOS; Android,500K+,50K+,Weekly,The Leader in Patient Intake,Market leader; deep integrations,AI-powered intake (2024),athenahealth partnership,Best in KLAS 2023,4.5,4.3,25,Public company - most data available
Clearwave,https://www.clearwaveinc.com/,Active,High,2026-01-16,Per Provider,$200,per provider/month,Intake; Eligibility; Payments,Specialty Practices; Ambulatory,Mid-Market,US National,500+,Monthly announcements,Posted on LinkedIn,200+,20% YoY,2003,Atlanta GA,$50M+,Series C,N/A,Private equity backed,Yes,Yes,Yes,Yes,Yes,Multiple EHRs,HIPAA,iOS; Android,50K+,5K+,Bi-weekly,Patient Revenue Platform,Strong eligibility focus,Clearwave AI launch,Recent EHR integrations,HFMA Peer Review,4.2,4.0,15,Key competitor - similar positioning
Epion Health (Kyruus),https://epionhealth.com/,Active,Medium,2026-01-16,Per Location,Unknown,per month,Intake; Check-in,Health Systems; Enterprise,Enterprise,US National,300+,Unknown,Health systems,300+,Acquired,2011,Acquired by Kyruus,$40M,Acquisition,N/A,Kyruus,Yes,Partial,No,Yes,Yes,Major EHR vendors,HIPAA,Limited,25K+,5K,Monthly,Integrated Patient Experience,Part of Kyruus platform,Kyruus integration,Kyruus acquisition,N/A,4.0,3.8,5,Acquired by Kyruus - watch for changes
Tonic Health,https://tonicforhealth.com/,Active,Medium,2026-01-16,Subscription,Unknown,,Intake Forms; Patient Engagement,SMB Practices,Small to Mid,US,Unknown,Unknown,Unknown,50+,Unknown,2015,Unknown,Unknown,Seed/Series A,N/A,Unknown,Yes,No,No,No,Yes,Limited,HIPAA,No,10K,1K,Monthly,Smart Patient Intake,Form-focused; simple,Unknown,Unknown,Unknown,4.0,3.9,2,Smaller player - less public info
AdvancedMD,https://www.advancedmd.com/,Active,Medium,2026-01-16,Per Provider,$400,per provider/month,PM; EHR; Intake; RCM,Independent Practices,SMB to Mid,US National,40000+,Strong,Many case studies,800+,10% YoY,1999,Salt Lake City UT,$100M+,PE Owned,N/A,Global Payments,Yes,Yes,Yes,Yes,Yes,Own EHR,HIPAA; SOC2,iOS; Android,100K+,25K+,Weekly,All-in-One Practice Management,Full PM/EHR suite,Telehealth updates,Payment processing,Best in KLAS,4.3,4.2,20,Broader PM focus - partial competitor
Kareo (Tebra),https://www.kareo.com/,Active,Medium,2026-01-16,Tiered,$150,starting price,PM; EHR; Billing,Independent Practices,SMB,US National,75000+,High volume,Case studies available,1000+,Merged,2004,Irvine CA,$100M+,Merged with PatientPop,N/A,PE Backed,Yes,Yes,Yes,Yes,Yes,Many,HIPAA,iOS; Android,200K+,20K+,Weekly,The Operating System for Independent Practices,Volume leader in SMB,Tebra rebrand,PatientPop merger,Multiple awards,4.1,4.0,15,Merged with PatientPop - now Tebra
SimplePractice,https://www.simplepractice.com/,Active,Low,2026-01-16,Subscription,$29,per month starting,PM; Intake; Telehealth,Behavioral Health; Solo,Solo to Small,US,100000+,Very high,Testimonials,500+,20% YoY,2012,Los Angeles CA,$50M+,Series B,N/A,Insight Partners,Yes,No,Yes,Yes,Yes,Limited,HIPAA,iOS; Android,400K+,100K+,Daily,Practice Management for Private Practitioners,Behavioral health focus,AI notes,Unknown,G2 Leader,4.6,4.5,10,Behavioral health focus - different segment
NextGen Healthcare,https://www.nextgen.com/,Active,Low,2026-01-16,Enterprise,Custom,custom,EHR; PM; RCM,Ambulatory; Specialty,Mid to Enterprise,US National,100000+,Enterprise sales,Health systems,3000+,5% YoY,1974,Atlanta GA,$500M+,Public (NASDAQ: NXGN),N/A,Public,Partial,Yes,Limited,Yes,Yes,Own ecosystem,All major,Limited,300K+,20K+,Weekly,Better Outcomes Better Care,Enterprise EHR leader,Platform updates,Many partnerships,Best in KLAS,3.8,3.7,30,Enterprise EHR - different market tier
DrChrono,https://www.drchrono.com/,Active,Low,2026-01-16,Per Provider,$199,per provider/month,EHR; PM; RCM,Independent Practices,SMB,US National,Unknown,Unknown,Listed,200+,Acquired,2009,Sunnyvale CA,$50M+,Acquired by EverHealth,N/A,EverHealth,Yes,Yes,Yes,Yes,Yes,Many,HIPAA,iOS; Android,50K+,15K+,Bi-weekly,EHR Built for the iPad,Mobile-first EHR,Acquired 2021,EverHealth integration,App Store featured,4.0,3.8,8,Acquired - focus shifted
Solutionreach,https://www.solutionreach.com/,Active,Medium,2026-01-16,Per Location,$299,per location/month,Patient Engagement; Reminders,Multi-specialty; Dental,SMB to Mid,US National,25000+,Good,Many logos,400+,10% YoY,2000,Lehi UT,$50M+,PE Owned,N/A,Marlin Equity,Partial,No,Limited,Limited,Yes,Many,HIPAA,iOS,75K+,10K+,Weekly,Patient Relationship Management,Communication focus,AI messaging,Many,Unknown,4.2,4.1,12,Communication focus - adjacent competitor
